RNA	protein	label
ENST00000444721	P17947	1
ENST00000664156	P11413-2	0
ENST00000688952	Q96KN7-2	0
ENST00000581856	A0A087WZG4	0
ENST00000556050	Q8TAL6	0
ENST00000659400	Q9BXS9-5	0
ENST00000492416	P17861	1
ENST00000424021	A0A0C4DFT8	0
ENST00000567167	A0A7P0T901	0
ENST00000691411	H9KVD8	0
ENST00000429717	K7EJX0	0
ENST00000430094	C9JYG8	0
ENST00000608643	Q92496-2	0
ENST00000647999	Q16656	1
ENST00000449073	Q9UBB5	1
ENST00000435401	P43694	1
ENST00000617759	Q9NZ52-2	0
ENST00000670647	O15296-2	0
ENST00000655782	P49715	1
ENST00000557965	Q86SQ4-3	0
ENST00000428529	P29375	1
ENST00000415082	Q08050	1
ENST00000457938	P10828	0
ENST00000508936	P20749	1
ENST00000515487	Q07666	1
ENST00000624760	A0A669KBC9	0
ENST00000541749	Q9NZC4	1
ENST00000456782	Q32MQ0	1
ENST00000665068	P35637	1
ENST00000589433	P10415-2	0
ENST00000661823	O75112	0
ENST00000670489	P05412	1
ENST00000441001	Q08050	1
ENST00000667713	A2AAS7	0
ENST00000414686	H3BSZ4	0
ENST00000366397	Q16254	1
ENST00000622979	P61266	0
ENST00000671368	A0A1W2PQZ4	0
ENST00000444410	A0A0J9YXL8	0
ENST00000512585	A0A3B3ISI2	0
ENST00000667481	Q9HD23-4	0
ENST00000377300	P17480	1
ENST00000558696	Q92786	1
ENST00000623585	A0A1B0GTF8	0
ENST00000557350	P23769	1
ENST00000661751	Q96Q07-3	0
ENST00000419680	F8VS10	0
ENST00000602048	O75030	1
ENST00000440013	Q15306	1
ENST00000423593	P41235	1
ENST00000567544	Q15648	1
ENST00000603514	C9JS50	0
ENST00000454477	P32243	1
ENST00000609436	Q15562	1
ENST00000443030	Q01196-5	0
ENST00000668904	Q14994-13	0
ENST00000670919	E7EVR7	0
ENST00000666261	Q8NGD2	0
ENST00000667162	Q8NCT3	0
ENST00000627331	A0A0G2JMZ6	0
ENST00000681370	P31268	1
ENST00000658134	P31267	0
ENST00000658350	A0A0A0MR11	0
ENST00000693747	F8WC68	0
ENST00000687228	Q7Z4K8-2	0
ENST00000377186	H7C3W7	0
ENST00000430555	Q96QS6	0
ENST00000566101	Q15797	1
ENST00000686377	F8VU35	0
ENST00000419535	P35222	1
ENST00000443252	P12757-4	0
ENST00000535922	Q9Y294	1
ENST00000541243	Q01860	1
ENST00000422271	P15172	1
ENST00000430861	P04637	1
ENST00000653260	Q02548	1
ENST00000656280	Q5W0W3	0
ENST00000552663	Q9Y3I0	1
ENST00000514452	B7Z9C2	0
ENST00000667470	Q8NB59-7	0
ENST00000433952	P20719	1
ENST00000439592	Q92908	1
ENST00000645887	Q9H251-9	0
ENST00000457385	Q04726	1
ENST00000659267	Q99571	0
ENST00000670721	Q9H3H9	0
ENST00000444319	A0A8I5KYL4	0
ENST00000653983	A0A0C4DFV3	0
ENST00000523742	P23771	1
ENST00000358234	Q86W50	0
ENST00000661986	C9J3R8	0
ENST00000421132	P48552	1
ENST00000455947	Q9UKV0-8	0
ENST00000685522	A0A1B0GWB9	0
ENST00000623515	O60216	1
ENST00000654562	K7EK00	0
ENST00000452288	P50549	1
ENST00000449270	Q9H334	1
ENST00000438115	A0A087WT54	0
ENST00000452222	P16220	1
ENST00000667178	Q9Y4P1-3	0
ENST00000658654	B1AK73	0
ENST00000434547	P18146	1
ENST00000549744	P55196-3	0
ENST00000660946	A0A7I2YQX0	0
ENST00000593790	J3QLD5	0
ENST00000422946	P32519	1
ENST00000441238	Q9Y261	1
ENST00000627866	P15036	1
ENST00000593581	O75164	1
ENST00000473817	Q15797	1
ENST00000431460	Q16665	1
ENST00000656133	Q9C0C7-6	0
ENST00000662994	E9PAM4	0
ENST00000565283	P17676	1
ENST00000515871	Q9Y294	1
ENST00000590186	E7EU49	0
ENST00000515264	P31260	1
ENST00000339037	Q9UJU2	1
ENST00000448835	P03372	1
ENST00000561916	O75152	1
ENST00000458264	P15172	1
ENST00000685916	Q9UKI9	0
ENST00000658922	F5H303	0
ENST00000629695	A0A2R8Y840	0
ENST00000429200	Q6NUS8	0
ENST00000453135	Q92804	1
ENST00000412714	Q9UL18	1
ENST00000433933	Q9ULJ6	1
ENST00000669623	O76083-2	0
ENST00000445514	F6RWC2	0
ENST00000686975	A0A140T9D8	0
ENST00000518163	C9J081	0
ENST00000654546	Q9NUL3-8	0
ENST00000464382	Q9ULJ6	1
ENST00000425723	Q9H0C3	0
ENST00000575126	Q9Y5J3	1
ENST00000664736	A0A087WYJ6	0
ENST00000636944	Q6ZN18-2	0
ENST00000577173	Q5H913-2	0
ENST00000435037	Q12824	1
ENST00000556973	P52747	1
ENST00000664404	Q6P575	0
ENST00000530150	Q13485	1
ENST00000515542	P33076	1
ENST00000609436	Q96MM3	1
ENST00000655017	Q01860	1
ENST00000483544	Q9H3D4	1
ENST00000588244	Q4G0T1-3	0
ENST00000412789	Q9UQE7	1
ENST00000589110	A0A8I5KVE0	0
ENST00000420998	Q9NZI5	1
ENST00000642208	Q96SI1	0
ENST00000660198	A0A1B0GUF4	0
ENST00000669173	H7C1X0	0
ENST00000581067	P25490	1
ENST00000446789	P41235	1
ENST00000414141	P84022	1
ENST00000444729	P08887	0
ENST00000586729	Q08828	0
ENST00000551280	Q12894-2	0
ENST00000537269	Q9H0L4	1
ENST00000431923	Q9BSA9	0
ENST00000654994	H0Y4B0	0
ENST00000568932	A0A8I5KU25	0
ENST00000667087	A0A6Q8PFI9	0
ENST00000432229	P41235	1
ENST00000581798	Q9NUA8	0
ENST00000629721	P22557	0
ENST00000551152	P08047	1
ENST00000663213	Q9NQZ3	0
ENST00000473876	P23511	1
ENST00000559946	Q04206	1
ENST00000627886	P05549	1
ENST00000623579	P15529-5	0
ENST00000426991	Q15047	1
ENST00000433770	O14647	1
ENST00000515464	Q99626	1
ENST00000447297	P39880	1
ENST00000444386	Q9C0J8	1
ENST00000615261	Q9Y4F5-3	0
ENST00000565847	Q99871	0
ENST00000526953	H7C163	0
ENST00000450044	C9JE17	0
ENST00000495917	O15350	1
ENST00000414634	O60548	1
ENST00000512978	Q6UN15	1
ENST00000663461	P18577-6	0
ENST00000664112	Q8WVM7	1
ENST00000596379	O15409	1
ENST00000623312	Q9BX66-10	0
ENST00000420777	Q16236	1
ENST00000451712	Q9UKL0	1
ENST00000650223	O14646	1
ENST00000616373	O60524-2	0
ENST00000553487	Q9ULE6	0
ENST00000655624	Q8WVM7	1
ENST00000442889	Q00613	1
ENST00000423869	P31260	1
ENST00000441644	P15336	1
ENST00000608206	P18146	1
ENST00000396885	Q13263	1
ENST00000424435	P35869	1
ENST00000562642	P00156	0
ENST00000432981	O43474	1
ENST00000512384	P56270	1
ENST00000457698	O60216	1
